Frequency =1

- 23 Merge k Sorted Lists 23.3% Hard | LinkedIn, Google, Uber, Airbnb, Facebook, Twitter, Amazon, Microsoft
- 20 Valid Parentheses 29.3% Easy | Google, Airbnb, Facebook, Twitter, Zenefit, Amazon, Microsoft, Bloomberg

 Frequency =11

- 146 LRU Cache 15.8% Hard | Google, Uber, Facebook, Twitter, Zenefit, Amazon, Microsoft, Snapchat, Yahoo, Bloomberg, Palantir

 Frequency =12

- 206 Reverse Linked List 39.4% Easy | Uber, Facebook, Twitter, Zenefit, Amazon, Microsoft, Snapchat, Apple, Yahoo, Bloomberg, Yelp, Adobe
